originalid,year,colenr
80,2017,1. Not enrolled
81,2017,1. Not enrolled
82,2017,1. Not enrolled
83,2017,1. Not enrolled
84,2017,2. 2-year college 
85,2017,1. Not enrolled
86,2017,1. Not enrolled
87,2017,
88,2017,1. Not enrolled
89,2017,1. Not enrolled
90,2017,1. Not enrolled
91,2017,1. Not enrolled
92,2017,1. Not enrolled
93,2017,1. Not enrolled
94,2017,1. Not enrolled
95,2017,
96,2017,
97,2017,1. Not enrolled
98,2017,
99,2017,
100,2017,1. Not enrolled
101,2017,1. Not enrolled
102,2017,1. Not enrolled
103,2017,
104,2017,3. 4-year college
105,2017,1. Not enrolled
106,2017,
107,2017,1. Not enrolled
108,2017,1. Not enrolled
109,2017,1. Not enrolled
110,2017,1. Not enrolled
111,2017,1. Not enrolled
112,2017,1. Not enrolled
113,2017,1. Not enrolled
114,2017,1. Not enrolled
115,2017,1. Not enrolled
116,2017,1. Not enrolled
117,2017,1. Not enrolled
118,2017,
119,2017,1. Not enrolled
120,2017,4. Graduate program
121,2017,1. Not enrolled
122,2017,1. Not enrolled
123,2017,
124,2017,
125,2017,1. Not enrolled
126,2017,1. Not enrolled
127,2017,1. Not enrolled
128,2017,1. Not enrolled
129,2017,1. Not enrolled
130,2017,1. Not enrolled
131,2017,
132,2017,1. Not enrolled
133,2017,1. Not enrolled
134,2017,
135,2017,
136,2017,1. Not enrolled
137,2017,1. Not enrolled
138,2017,1. Not enrolled
139,2017,
140,2017,
141,2017,
142,2017,1. Not enrolled
143,2017,2. 2-year college 
144,2017,1. Not enrolled
145,2017,1. Not enrolled
146,2017,1. Not enrolled
147,2017,1. Not enrolled
148,2017,1. Not enrolled
149,2017,1. Not enrolled
150,2017,2. 2-year college 
151,2017,1. Not enrolled
152,2017,1. Not enrolled
153,2017,1. Not enrolled
154,2017,
155,2017,1. Not enrolled
156,2017,1. Not enrolled
157,2017,1. Not enrolled
158,2017,
159,2017,1. Not enrolled
160,2017,1. Not enrolled
161,2017,1. Not enrolled
162,2017,1. Not enrolled
163,2017,2. 2-year college 
164,2017,1. Not enrolled
165,2017,1. Not enrolled
166,2017,1. Not enrolled
167,2017,1. Not enrolled
168,2017,1. Not enrolled
169,2017,1. Not enrolled
170,2017,1. Not enrolled
171,2017,1. Not enrolled
172,2017,1. Not enrolled
173,2017,
174,2017,1. Not enrolled
175,2017,1. Not enrolled
176,2017,1. Not enrolled
177,2017,1. Not enrolled
178,2017,1. Not enrolled
179,2017,
180,2017,
181,2017,4. Graduate program
182,2017,1. Not enrolled
183,2017,1. Not enrolled
184,2017,
185,2017,
186,2017,
187,2017,1. Not enrolled
188,2017,1. Not enrolled
189,2017,
190,2017,1. Not enrolled
191,2017,1. Not enrolled
192,2017,1. Not enrolled
193,2017,1. Not enrolled
194,2017,1. Not enrolled
195,2017,1. Not enrolled
196,2017,
197,2017,1. Not enrolled
198,2017,1. Not enrolled
199,2017,1. Not enrolled
200,2017,1. Not enrolled
201,2017,1. Not enrolled
202,2017,1. Not enrolled
203,2017,1. Not enrolled
204,2017,3. 4-year college
205,2017,1. Not enrolled
206,2017,1. Not enrolled
207,2017,1. Not enrolled
208,2017,
209,2017,
210,2017,
211,2017,1. Not enrolled
212,2017,1. Not enrolled
213,2017,1. Not enrolled
214,2017,1. Not enrolled
215,2017,3. 4-year college
216,2017,1. Not enrolled
217,2017,2. 2-year college 
218,2017,
219,2017,1. Not enrolled
220,2017,1. Not enrolled
221,2017,1. Not enrolled
222,2017,1. Not enrolled
223,2017,3. 4-year college
224,2017,1. Not enrolled
225,2017,1. Not enrolled
226,2017,1. Not enrolled
227,2017,
228,2017,1. Not enrolled
229,2017,1. Not enrolled
230,2017,1. Not enrolled
231,2017,1. Not enrolled
232,2017,1. Not enrolled
233,2017,1. Not enrolled
234,2017,2. 2-year college 
235,2017,1. Not enrolled
236,2017,2. 2-year college 
237,2017,1. Not enrolled
238,2017,1. Not enrolled
239,2017,1. Not enrolled
240,2017,1. Not enrolled
241,2017,1. Not enrolled
242,2017,1. Not enrolled
243,2017,1. Not enrolled
244,2017,1. Not enrolled
245,2017,1. Not enrolled
246,2017,1. Not enrolled
247,2017,1. Not enrolled
248,2017,1. Not enrolled
249,2017,1. Not enrolled
250,2017,
251,2017,1. Not enrolled
252,2017,1. Not enrolled
253,2017,
254,2017,1. Not enrolled
255,2017,1. Not enrolled
256,2017,1. Not enrolled
257,2017,1. Not enrolled
258,2017,1. Not enrolled
259,2017,1. Not enrolled
260,2017,1. Not enrolled
261,2017,1. Not enrolled
262,2017,1. Not enrolled
263,2017,1. Not enrolled
264,2017,3. 4-year college
265,2017,1. Not enrolled
266,2017,1. Not enrolled
267,2017,1. Not enrolled
268,2017,1. Not enrolled
269,2017,
270,2017,1. Not enrolled
271,2017,1. Not enrolled
272,2017,1. Not enrolled
273,2017,1. Not enrolled
274,2017,
275,2017,1. Not enrolled
276,2017,
277,2017,
278,2017,1. Not enrolled
279,2017,1. Not enrolled
280,2017,1. Not enrolled
281,2017,1. Not enrolled
282,2017,1. Not enrolled
283,2017,1. Not enrolled
284,2017,1. Not enrolled
285,2017,1. Not enrolled
286,2017,1. Not enrolled
287,2017,1. Not enrolled
288,2017,1. Not enrolled
289,2017,1. Not enrolled
290,2017,1. Not enrolled
291,2017,1. Not enrolled
292,2017,1. Not enrolled
293,2017,1. Not enrolled
294,2017,1. Not enrolled
295,2017,1. Not enrolled
296,2017,1. Not enrolled
297,2017,
298,2017,1. Not enrolled
299,2017,1. Not enrolled
300,2017,1. Not enrolled
301,2017,1. Not enrolled
302,2017,
303,2017,1. Not enrolled
304,2017,1. Not enrolled
305,2017,1. Not enrolled
306,2017,1. Not enrolled
307,2017,1. Not enrolled
308,2017,1. Not enrolled
309,2017,1. Not enrolled
310,2017,1. Not enrolled
311,2017,1. Not enrolled
312,2017,1. Not enrolled
313,2017,1. Not enrolled
314,2017,
315,2017,1. Not enrolled
316,2017,
317,2017,1. Not enrolled
318,2017,
319,2017,
320,2017,1. Not enrolled
321,2017,1. Not enrolled
322,2017,1. Not enrolled
323,2017,1. Not enrolled
324,2017,
325,2017,1. Not enrolled
326,2017,
327,2017,1. Not enrolled
328,2017,
329,2017,1. Not enrolled
330,2017,
331,2017,1. Not enrolled
332,2017,1. Not enrolled
333,2017,1. Not enrolled
334,2017,1. Not enrolled
335,2017,1. Not enrolled
336,2017,1. Not enrolled
337,2017,1. Not enrolled
338,2017,1. Not enrolled
339,2017,1. Not enrolled
340,2017,1. Not enrolled
341,2017,1. Not enrolled
342,2017,1. Not enrolled
343,2017,1. Not enrolled
344,2017,1. Not enrolled
345,2017,1. Not enrolled
346,2017,1. Not enrolled
347,2017,1. Not enrolled
348,2017,1. Not enrolled
349,2017,1. Not enrolled
350,2017,1. Not enrolled
351,2017,
352,2017,1. Not enrolled
353,2017,1. Not enrolled
354,2017,1. Not enrolled
355,2017,1. Not enrolled
356,2017,1. Not enrolled
357,2017,1. Not enrolled
358,2017,1. Not enrolled
359,2017,1. Not enrolled
360,2017,1. Not enrolled
361,2017,
362,2017,1. Not enrolled
363,2017,1. Not enrolled
364,2017,
365,2017,1. Not enrolled
366,2017,1. Not enrolled
367,2017,1. Not enrolled
368,2017,2. 2-year college 
369,2017,
370,2017,1. Not enrolled
371,2017,1. Not enrolled
372,2017,1. Not enrolled
373,2017,1. Not enrolled
374,2017,1. Not enrolled
375,2017,1. Not enrolled
376,2017,1. Not enrolled
377,2017,1. Not enrolled
378,2017,1. Not enrolled
379,2017,
380,2017,
381,2017,
382,2017,1. Not enrolled
383,2017,
384,2017,
385,2017,1. Not enrolled
386,2017,1. Not enrolled
387,2017,1. Not enrolled
388,2017,1. Not enrolled
389,2017,
390,2017,1. Not enrolled
391,2017,1. Not enrolled
392,2017,1. Not enrolled
393,2017,1. Not enrolled
394,2017,1. Not enrolled
395,2017,1. Not enrolled
396,2017,1. Not enrolled
397,2017,1. Not enrolled
398,2017,1. Not enrolled
399,2017,
400,2017,1. Not enrolled
401,2017,1. Not enrolled
402,2017,2. 2-year college 
403,2017,1. Not enrolled
404,2017,1. Not enrolled
405,2017,
406,2017,1. Not enrolled
407,2017,1. Not enrolled
408,2017,1. Not enrolled
409,2017,1. Not enrolled
410,2017,
411,2017,1. Not enrolled
412,2017,1. Not enrolled
413,2017,1. Not enrolled
414,2017,1. Not enrolled
415,2017,1. Not enrolled
416,2017,1. Not enrolled
417,2017,1. Not enrolled
418,2017,1. Not enrolled
419,2017,
420,2017,1. Not enrolled
421,2017,1. Not enrolled
422,2017,1. Not enrolled
423,2017,1. Not enrolled
424,2017,1. Not enrolled
425,2017,4. Graduate program
426,2017,1. Not enrolled
427,2017,1. Not enrolled
428,2017,1. Not enrolled
429,2017,1. Not enrolled
430,2017,
431,2017,
432,2017,1. Not enrolled
433,2017,1. Not enrolled
434,2017,1. Not enrolled
435,2017,1. Not enrolled
436,2017,1. Not enrolled
437,2017,1. Not enrolled
438,2017,1. Not enrolled
439,2017,1. Not enrolled
440,2017,1. Not enrolled
441,2017,1. Not enrolled
442,2017,
443,2017,1. Not enrolled
444,2017,1. Not enrolled
445,2017,1. Not enrolled
446,2017,1. Not enrolled
447,2017,1. Not enrolled
448,2017,1. Not enrolled
449,2017,
450,2017,1. Not enrolled
451,2017,1. Not enrolled
452,2017,1. Not enrolled
453,2017,1. Not enrolled
454,2017,
455,2017,1. Not enrolled
456,2017,1. Not enrolled
457,2017,1. Not enrolled
458,2017,1. Not enrolled
459,2017,1. Not enrolled
460,2017,1. Not enrolled
461,2017,1. Not enrolled
462,2017,1. Not enrolled
463,2017,1. Not enrolled
464,2017,1. Not enrolled
465,2017,2. 2-year college 
466,2017,1. Not enrolled
467,2017,2. 2-year college 
468,2017,1. Not enrolled
469,2017,1. Not enrolled
470,2017,1. Not enrolled
471,2017,1. Not enrolled
472,2017,1. Not enrolled
473,2017,1. Not enrolled
474,2017,1. Not enrolled
475,2017,1. Not enrolled
476,2017,1. Not enrolled
477,2017,1. Not enrolled
478,2017,3. 4-year college
479,2017,1. Not enrolled
480,2017,1. Not enrolled
481,2017,1. Not enrolled
482,2017,1. Not enrolled
483,2017,1. Not enrolled
484,2017,1. Not enrolled
485,2017,1. Not enrolled
486,2017,
487,2017,1. Not enrolled
488,2017,1. Not enrolled
489,2017,
490,2017,1. Not enrolled
491,2017,3. 4-year college
492,2017,1. Not enrolled
493,2017,
494,2017,
495,2017,1. Not enrolled
496,2017,1. Not enrolled
497,2017,
498,2017,1. Not enrolled
499,2017,
500,2017,1. Not enrolled
501,2017,1. Not enrolled
502,2017,1. Not enrolled
503,2017,1. Not enrolled
504,2017,
505,2017,
506,2017,1. Not enrolled
507,2017,1. Not enrolled
508,2017,1. Not enrolled
509,2017,4. Graduate program
510,2017,1. Not enrolled
511,2017,1. Not enrolled
512,2017,1. Not enrolled
513,2017,1. Not enrolled
514,2017,1. Not enrolled
515,2017,1. Not enrolled
516,2017,1. Not enrolled
517,2017,1. Not enrolled
518,2017,1. Not enrolled
519,2017,1. Not enrolled
520,2017,1. Not enrolled
521,2017,1. Not enrolled
522,2017,1. Not enrolled
523,2017,1. Not enrolled
524,2017,3. 4-year college
525,2017,1. Not enrolled
526,2017,1. Not enrolled
527,2017,1. Not enrolled
528,2017,1. Not enrolled
529,2017,1. Not enrolled
530,2017,1. Not enrolled
531,2017,1. Not enrolled
532,2017,
533,2017,
534,2017,1. Not enrolled
535,2017,1. Not enrolled
536,2017,1. Not enrolled
537,2017,1. Not enrolled
538,2017,1. Not enrolled
539,2017,1. Not enrolled
540,2017,2. 2-year college 
541,2017,1. Not enrolled
542,2017,1. Not enrolled
543,2017,1. Not enrolled
544,2017,1. Not enrolled
545,2017,1. Not enrolled
546,2017,1. Not enrolled
547,2017,1. Not enrolled
548,2017,1. Not enrolled
549,2017,3. 4-year college
550,2017,
551,2017,1. Not enrolled
552,2017,
553,2017,
554,2017,1. Not enrolled
555,2017,1. Not enrolled
556,2017,1. Not enrolled
557,2017,1. Not enrolled
558,2017,1. Not enrolled
559,2017,
560,2017,1. Not enrolled
561,2017,1. Not enrolled
562,2017,2. 2-year college 
563,2017,1. Not enrolled
564,2017,1. Not enrolled
565,2017,1. Not enrolled
566,2017,1. Not enrolled
567,2017,1. Not enrolled
568,2017,1. Not enrolled
569,2017,1. Not enrolled
570,2017,1. Not enrolled
571,2017,1. Not enrolled
572,2017,
573,2017,1. Not enrolled
574,2017,1. Not enrolled
575,2017,1. Not enrolled
576,2017,1. Not enrolled
577,2017,1. Not enrolled
578,2017,1. Not enrolled
579,2017,1. Not enrolled
580,2017,1. Not enrolled
581,2017,2. 2-year college 
582,2017,1. Not enrolled
583,2017,1. Not enrolled
584,2017,1. Not enrolled
585,2017,1. Not enrolled
586,2017,1. Not enrolled
587,2017,1. Not enrolled
588,2017,
589,2017,1. Not enrolled
590,2017,1. Not enrolled
591,2017,1. Not enrolled
592,2017,1. Not enrolled
593,2017,1. Not enrolled
594,2017,1. Not enrolled
595,2017,3. 4-year college
596,2017,
597,2017,1. Not enrolled
598,2017,1. Not enrolled
599,2017,1. Not enrolled
600,2017,1. Not enrolled
601,2017,1. Not enrolled
602,2017,1. Not enrolled
603,2017,1. Not enrolled
604,2017,1. Not enrolled
605,2017,1. Not enrolled
606,2017,1. Not enrolled
607,2017,1. Not enrolled
608,2017,1. Not enrolled
609,2017,1. Not enrolled
610,2017,1. Not enrolled
611,2017,1. Not enrolled
612,2017,4. Graduate program
613,2017,1. Not enrolled
614,2017,
615,2017,
616,2017,
617,2017,1. Not enrolled
618,2017,1. Not enrolled
619,2017,1. Not enrolled
620,2017,
621,2017,1. Not enrolled
622,2017,
623,2017,1. Not enrolled
624,2017,1. Not enrolled
625,2017,1. Not enrolled
626,2017,1. Not enrolled
627,2017,1. Not enrolled
628,2017,1. Not enrolled
629,2017,1. Not enrolled
630,2017,1. Not enrolled
631,2017,
632,2017,1. Not enrolled
633,2017,1. Not enrolled
634,2017,1. Not enrolled
635,2017,1. Not enrolled
636,2017,1. Not enrolled
637,2017,1. Not enrolled
638,2017,1. Not enrolled
639,2017,1. Not enrolled
640,2017,1. Not enrolled
641,2017,1. Not enrolled
642,2017,1. Not enrolled
643,2017,1. Not enrolled
644,2017,
645,2017,
646,2017,
647,2017,1. Not enrolled
648,2017,1. Not enrolled
649,2017,1. Not enrolled
650,2017,1. Not enrolled
651,2017,1. Not enrolled
652,2017,1. Not enrolled
653,2017,1. Not enrolled
654,2017,
655,2017,
656,2017,
657,2017,
658,2017,1. Not enrolled
659,2017,1. Not enrolled
660,2017,1. Not enrolled
661,2017,1. Not enrolled
662,2017,1. Not enrolled
663,2017,1. Not enrolled
664,2017,1. Not enrolled
665,2017,1. Not enrolled
666,2017,1. Not enrolled
667,2017,1. Not enrolled
668,2017,4. Graduate program
669,2017,1. Not enrolled
670,2017,
671,2017,
672,2017,4. Graduate program
673,2017,1. Not enrolled
674,2017,1. Not enrolled
675,2017,1. Not enrolled
676,2017,1. Not enrolled
677,2017,1. Not enrolled
678,2017,
679,2017,1. Not enrolled
680,2017,2. 2-year college 
681,2017,1. Not enrolled
682,2017,1. Not enrolled
683,2017,1. Not enrolled
684,2017,1. Not enrolled
685,2017,1. Not enrolled
686,2017,1. Not enrolled
687,2017,1. Not enrolled
688,2017,1. Not enrolled
689,2017,1. Not enrolled
690,2017,1. Not enrolled
691,2017,1. Not enrolled
692,2017,1. Not enrolled
693,2017,1. Not enrolled
694,2017,1. Not enrolled
695,2017,
696,2017,1. Not enrolled
697,2017,
698,2017,1. Not enrolled
699,2017,1. Not enrolled
700,2017,1. Not enrolled
701,2017,1. Not enrolled
702,2017,1. Not enrolled
703,2017,1. Not enrolled
704,2017,1. Not enrolled
705,2017,1. Not enrolled
706,2017,3. 4-year college
707,2017,1. Not enrolled
708,2017,1. Not enrolled
709,2017,1. Not enrolled
710,2017,1. Not enrolled
711,2017,
712,2017,1. Not enrolled
713,2017,1. Not enrolled
714,2017,1. Not enrolled
715,2017,1. Not enrolled
716,2017,1. Not enrolled
717,2017,1. Not enrolled
718,2017,1. Not enrolled
719,2017,1. Not enrolled
720,2017,1. Not enrolled
721,2017,1. Not enrolled
722,2017,1. Not enrolled
723,2017,1. Not enrolled
724,2017,
725,2017,1. Not enrolled
726,2017,1. Not enrolled
727,2017,1. Not enrolled
728,2017,1. Not enrolled
729,2017,1. Not enrolled
730,2017,1. Not enrolled
731,2017,1. Not enrolled
732,2017,1. Not enrolled
733,2017,
734,2017,1. Not enrolled
735,2017,1. Not enrolled
736,2017,
737,2017,1. Not enrolled
738,2017,1. Not enrolled
739,2017,1. Not enrolled
740,2017,1. Not enrolled
741,2017,1. Not enrolled
742,2017,1. Not enrolled
743,2017,1. Not enrolled
744,2017,
745,2017,1. Not enrolled
746,2017,1. Not enrolled
747,2017,
748,2017,1. Not enrolled
749,2017,1. Not enrolled
750,2017,
751,2017,1. Not enrolled
752,2017,1. Not enrolled
753,2017,1. Not enrolled
754,2017,1. Not enrolled
755,2017,1. Not enrolled
756,2017,
757,2017,1. Not enrolled
758,2017,
759,2017,
760,2017,
761,2017,1. Not enrolled
762,2017,
763,2017,1. Not enrolled
764,2017,1. Not enrolled
765,2017,1. Not enrolled
766,2017,
767,2017,1. Not enrolled
768,2017,1. Not enrolled
769,2017,1. Not enrolled
770,2017,1. Not enrolled
772,2017,1. Not enrolled
773,2017,
774,2017,1. Not enrolled
775,2017,2. 2-year college 
776,2017,1. Not enrolled
777,2017,
778,2017,1. Not enrolled
779,2017,1. Not enrolled
780,2017,
781,2017,
782,2017,1. Not enrolled
783,2017,1. Not enrolled
784,2017,
785,2017,1. Not enrolled
786,2017,
787,2017,
788,2017,
789,2017,1. Not enrolled
790,2017,1. Not enrolled
791,2017,1. Not enrolled
792,2017,1. Not enrolled
793,2017,1. Not enrolled
794,2017,1. Not enrolled
795,2017,
796,2017,1. Not enrolled
797,2017,1. Not enrolled
798,2017,1. Not enrolled
799,2017,4. Graduate program
800,2017,1. Not enrolled
801,2017,1. Not enrolled
802,2017,1. Not enrolled
803,2017,1. Not enrolled
804,2017,
805,2017,1. Not enrolled
806,2017,1. Not enrolled
807,2017,1. Not enrolled
808,2017,1. Not enrolled
809,2017,3. 4-year college
810,2017,
811,2017,
812,2017,1. Not enrolled
813,2017,1. Not enrolled
814,2017,1. Not enrolled
815,2017,1. Not enrolled
816,2017,1. Not enrolled
817,2017,
818,2017,1. Not enrolled
819,2017,1. Not enrolled
820,2017,1. Not enrolled
821,2017,1. Not enrolled
822,2017,1. Not enrolled
823,2017,1. Not enrolled
824,2017,1. Not enrolled
825,2017,1. Not enrolled
826,2017,1. Not enrolled
827,2017,
828,2017,3. 4-year college
829,2017,
830,2017,1. Not enrolled
831,2017,1. Not enrolled
832,2017,
833,2017,1. Not enrolled
834,2017,1. Not enrolled
835,2017,1. Not enrolled
836,2017,1. Not enrolled
837,2017,1. Not enrolled
838,2017,
839,2017,1. Not enrolled
840,2017,1. Not enrolled
841,2017,1. Not enrolled
842,2017,1. Not enrolled
843,2017,1. Not enrolled
844,2017,1. Not enrolled
845,2017,
846,2017,1. Not enrolled
847,2017,1. Not enrolled
848,2017,1. Not enrolled
849,2017,1. Not enrolled
850,2017,1. Not enrolled
851,2017,2. 2-year college 
852,2017,1. Not enrolled
853,2017,3. 4-year college
854,2017,
855,2017,1. Not enrolled
856,2017,1. Not enrolled
857,2017,1. Not enrolled
858,2017,1. Not enrolled
859,2017,1. Not enrolled
860,2017,1. Not enrolled
861,2017,1. Not enrolled
862,2017,1. Not enrolled
863,2017,1. Not enrolled
864,2017,1. Not enrolled
865,2017,1. Not enrolled
866,2017,1. Not enrolled
867,2017,
868,2017,4. Graduate program
869,2017,
870,2017,1. Not enrolled
871,2017,1. Not enrolled
872,2017,
873,2017,1. Not enrolled
874,2017,1. Not enrolled
875,2017,1. Not enrolled
876,2017,1. Not enrolled
877,2017,
878,2017,1. Not enrolled
879,2017,1. Not enrolled
880,2017,1. Not enrolled
881,2017,1. Not enrolled
882,2017,1. Not enrolled
883,2017,1. Not enrolled
884,2017,1. Not enrolled
885,2017,1. Not enrolled
886,2017,
887,2017,1. Not enrolled
888,2017,1. Not enrolled
889,2017,2. 2-year college 
890,2017,1. Not enrolled
891,2017,1. Not enrolled
892,2017,1. Not enrolled
893,2017,1. Not enrolled
894,2017,1. Not enrolled
895,2017,1. Not enrolled
896,2017,1. Not enrolled
897,2017,1. Not enrolled
898,2017,1. Not enrolled
899,2017,1. Not enrolled
900,2017,
901,2017,1. Not enrolled
902,2017,
903,2017,1. Not enrolled
904,2017,1. Not enrolled
905,2017,1. Not enrolled
906,2017,1. Not enrolled
907,2017,1. Not enrolled
908,2017,1. Not enrolled
909,2017,1. Not enrolled
910,2017,
911,2017,
912,2017,1. Not enrolled
913,2017,1. Not enrolled
914,2017,
915,2017,1. Not enrolled
916,2017,1. Not enrolled
917,2017,1. Not enrolled
918,2017,1. Not enrolled
919,2017,1. Not enrolled
920,2017,1. Not enrolled
921,2017,1. Not enrolled
922,2017,1. Not enrolled
923,2017,1. Not enrolled
924,2017,1. Not enrolled
925,2017,
926,2017,1. Not enrolled
927,2017,1. Not enrolled
928,2017,
929,2017,1. Not enrolled
930,2017,1. Not enrolled
931,2017,1. Not enrolled
932,2017,1. Not enrolled
933,2017,1. Not enrolled
934,2017,1. Not enrolled
935,2017,1. Not enrolled
936,2017,1. Not enrolled
937,2017,
938,2017,
939,2017,1. Not enrolled
940,2017,4. Graduate program
941,2017,
942,2017,
943,2017,1. Not enrolled
944,2017,
945,2017,1. Not enrolled
946,2017,1. Not enrolled
947,2017,
948,2017,
949,2017,
950,2017,
951,2017,1. Not enrolled
952,2017,
953,2017,1. Not enrolled
954,2017,
955,2017,1. Not enrolled
956,2017,
957,2017,1. Not enrolled
958,2017,1. Not enrolled
959,2017,1. Not enrolled
960,2017,
961,2017,1. Not enrolled
962,2017,1. Not enrolled
963,2017,1. Not enrolled
964,2017,1. Not enrolled
965,2017,
966,2017,1. Not enrolled
967,2017,4. Graduate program
968,2017,1. Not enrolled
969,2017,1. Not enrolled
970,2017,1. Not enrolled
971,2017,
972,2017,1. Not enrolled
973,2017,1. Not enrolled
974,2017,1. Not enrolled
975,2017,1. Not enrolled
976,2017,1. Not enrolled
977,2017,
978,2017,1. Not enrolled
979,2017,1. Not enrolled
980,2017,1. Not enrolled
981,2017,1. Not enrolled
982,2017,1. Not enrolled
983,2017,1. Not enrolled
984,2017,1. Not enrolled
985,2017,
986,2017,1. Not enrolled
987,2017,1. Not enrolled
988,2017,1. Not enrolled
989,2017,1. Not enrolled
990,2017,3. 4-year college
991,2017,
992,2017,1. Not enrolled
993,2017,1. Not enrolled
994,2017,1. Not enrolled
995,2017,1. Not enrolled
996,2017,1. Not enrolled
997,2017,
998,2017,
999,2017,1. Not enrolled
1000,2017,1. Not enrolled
1001,2017,1. Not enrolled
1002,2017,
1003,2017,1. Not enrolled
1004,2017,1. Not enrolled
1005,2017,1. Not enrolled
1006,2017,1. Not enrolled
1007,2017,1. Not enrolled
1008,2017,1. Not enrolled
1009,2017,1. Not enrolled
1010,2017,1. Not enrolled
1011,2017,1. Not enrolled
1012,2017,1. Not enrolled
1013,2017,1. Not enrolled
1014,2017,1. Not enrolled
1015,2017,
1016,2017,
1017,2017,1. Not enrolled
1018,2017,1. Not enrolled
1019,2017,1. Not enrolled
1020,2017,1. Not enrolled
1021,2017,1. Not enrolled
1022,2017,1. Not enrolled
1023,2017,1. Not enrolled
1024,2017,1. Not enrolled
1025,2017,1. Not enrolled
1026,2017,1. Not enrolled
1027,2017,1. Not enrolled
1028,2017,
1029,2017,1. Not enrolled
1030,2017,1. Not enrolled
1031,2017,1. Not enrolled
1032,2017,1. Not enrolled
1033,2017,1. Not enrolled
1034,2017,1. Not enrolled
1035,2017,1. Not enrolled
1036,2017,1. Not enrolled
1037,2017,1. Not enrolled
1038,2017,1. Not enrolled
1039,2017,1. Not enrolled
1040,2017,1. Not enrolled
1041,2017,1. Not enrolled
1042,2017,1. Not enrolled
1043,2017,
1044,2017,1. Not enrolled
1045,2017,1. Not enrolled
1046,2017,1. Not enrolled
1047,2017,1. Not enrolled
1048,2017,1. Not enrolled
1049,2017,1. Not enrolled
1050,2017,1. Not enrolled
1051,2017,
1052,2017,
1053,2017,1. Not enrolled
1054,2017,1. Not enrolled
1055,2017,1. Not enrolled
1056,2017,1. Not enrolled
1057,2017,1. Not enrolled
1058,2017,1. Not enrolled
1059,2017,1. Not enrolled
1060,2017,1. Not enrolled
1061,2017,1. Not enrolled
1062,2017,1. Not enrolled
1063,2017,1. Not enrolled
1064,2017,
1065,2017,1. Not enrolled
1066,2017,1. Not enrolled
1067,2017,1. Not enrolled
1068,2017,1. Not enrolled
1069,2017,
1070,2017,1. Not enrolled
1071,2017,1. Not enrolled
1072,2017,1. Not enrolled
1073,2017,
1074,2017,1. Not enrolled
1075,2017,1. Not enrolled
1076,2017,
1077,2017,1. Not enrolled
1078,2017,1. Not enrolled
1079,2017,
1080,2017,
1081,2017,4. Graduate program
1082,2017,1. Not enrolled
1083,2017,1. Not enrolled
1084,2017,1. Not enrolled
1085,2017,1. Not enrolled
1086,2017,1. Not enrolled
1087,2017,1. Not enrolled
1088,2017,
1089,2017,
1090,2017,
1091,2017,1. Not enrolled
1092,2017,1. Not enrolled
1093,2017,1. Not enrolled
1094,2017,1. Not enrolled
1095,2017,1. Not enrolled
1096,2017,1. Not enrolled
1097,2017,1. Not enrolled
1098,2017,1. Not enrolled
1099,2017,1. Not enrolled
1100,2017,1. Not enrolled
1101,2017,1. Not enrolled
1102,2017,1. Not enrolled
